Section,Date/Time,Username,Location,Detail,Value 1,Value 2,Value 3
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Region","Tamil Nadu","",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Country","India","",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Temperature","23.100000","C",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Feels Like","24.900000","C",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Humidity","75.000000","%",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Wind Speed","6.500000","km/h",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Pressure","1012.000000","mb",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Precipitation","0.000000","mm",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","UV Index","0.800000","",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Condition","Overcast","",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Sunrise","06:06 AM","",""
"CURRENT WEATHER","2026-09-09 07:13:49","sriram","Salem","Sunset","06:22 PM","",""
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Date","2026-09-09","Min=22.700000 C","Max=32.300000 C"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Forecast","Avg=27.400000 C","Rain=36.000000%","Condition=Overcast"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Date","2026-09-10","Min=22.600000 C","Max=32.300000 C"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Forecast","Avg=26.900000 C","Rain=69.000000%","Condition=Overcast"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Date","2026-09-11","Min=21.300000 C","Max=31.400000 C"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Forecast","Avg=24.800000 C","Rain=85.000000%","Condition=Light rain shower"
"7-DAY FORECAST","2026-09-09 07:13:49","sriram","Salem","Date","2026-09-12","Min=19.500000 C","Max=32.100000 C"
